# time,x(N),y(E),z(D),psi
0.000000000000000000e+00,-4.532552008396719978e-17,-2.500378186922009894e-17,-2.000000000000000000e+00,9.655620577798979856e-16
4.770217982965520298e-02,-9.334880637595359600e-17,-4.829800659448899862e-17,-2.000000000000000000e+00,1.933764925704390065e-15
9.540435965931040596e-02,-5.140006836470289867e-05,-5.198120765633960206e-05,-2.000509138017410038e+00,6.125475823653659616e-04
1.431065394889660114e-01,-6.208895749825840173e-04,-6.238618374799020190e-04,-2.002184703753369988e+00,-7.868860818216119732e-04
1.908087193186210062e-01,-2.586866867146880074e-03,-2.596997442770700073e-03,-2.005198447824879882e+00,-5.453889283172449857e-03
2.385108991482760010e-01,-6.841098131088640261e-03,-6.863360977679719942e-03,-2.009474584569559852e+00,-1.258049701870149993e-02
2.862130789779310236e-01,-1.422837873070999931e-02,-1.428974178784890060e-02,-2.014696171316530116e+00,-2.085109186012399848e-02
3.339152588075859907e-01,-2.535362338301539939e-02,-2.569928770856630060e-02,-2.020478445245189825e+00,-2.952414149804150068e-02
3.816174386372410132e-01,-4.052801490257759709e-02,-4.167396616449280111e-02,-2.026573572644709831e+00,-4.314840476213310100e-02
4.293196184668969795e-01,-6.018450912196730146e-02,-6.218113323227730110e-02,-2.032839239983089907e+00,-5.345075673939120309e-02
4.770217982965520020e-01,-8.448787428431620006e-02,-8.722355657866759371e-02,-2.039142509449030083e+00,-6.618343203347840098e-02
5.247239781262069691e-01,-1.135470711165200014e-01,-1.167506270777539934e-01,-2.045353450440969834e+00,-7.676966016113979940e-02
5.724261579558620472e-01,-1.474527150552600030e-01,-1.506651917415650077e-01,-2.051335013516069949e+00,-8.930521712255840017e-02
6.201283377855170142e-01,-1.863074417632170077e-01,-1.889192857246320134e-01,-2.057222591914679821e+00,-9.862313804207499535e-02
6.678305176151729805e-01,-2.302179558789879954e-01,-2.312418378143170083e-01,-2.063367677408340040e+00,-1.072789274595129932e-01
7.155326974448279476e-01,-2.790792826639409974e-01,-2.773752852671430014e-01,-2.070133737297379817e+00,-1.139939848893969931e-01
7.632348772744830256e-01,-3.327196083149949746e-01,-3.269773375545579897e-01,-2.077889994779139826e+00,-1.210937812251390022e-01
8.109370571041379927e-01,-3.908062882411850181e-01,-3.797139483474180066e-01,-2.086800137285420131e+00,-1.279567804236109996e-01
8.586392369337929598e-01,-4.530136478768599928e-01,-4.352755612074160063e-01,-2.096946570160000078e+00,-1.357397858043609962e-01
9.063414167634480378e-01,-5.189894023247929589e-01,-4.933998218058909813e-01,-2.108420203486140121e+00,-1.432156400319370138e-01
9.540435965931040041e-01,-5.884024822982979464e-01,-5.538073426913170394e-01,-2.121292074651460080e+00,-1.514223576415550110e-01
1.001745776422759970e+00,-6.608961123685529460e-01,-6.162653584329369494e-01,-2.135619970897689957e+00,-1.594033878588450026e-01
1.049447956252409941e+00,-7.361367209935140155e-01,-6.805114136500349797e-01,-2.151451469471230116e+00,-1.678987048013790007e-01
