# time,x(N),y(E),z(D),psi
0.000000000000000000e+00,3.729927721754850328e-18,-3.073758533557869740e-17,-2.000000000000000000e+00,-3.445728696090449822e-17
5.576180212433910072e-02,1.196913167021860014e-17,-7.096909528600869513e-17,-2.000000000000000000e+00,-6.901954696035940235e-17
1.115236042486779933e-01,-6.357011150063739352e-05,-4.244204886561830280e-05,-2.000037256825930143e+00,-7.567063962252769827e-04
1.672854063730170038e-01,-6.874647747334380367e-04,-4.552123371849890006e-04,-2.000166293701040043e+00,-5.353105747683569934e-03
2.230472084973559865e-01,-2.581073125663360061e-03,-1.703167353172939900e-03,-2.000389664431049930e+00,-1.288011565414449999e-02
2.788090106216959962e-01,-6.253616669062380187e-03,-4.110174166417700226e-03,-2.000676728783080005e+00,-2.166108852877760005e-02
3.345708127460350068e-01,-1.221402600924110030e-02,-7.987692957510899791e-03,-2.000971314299090142e+00,-3.133975321713339951e-02
3.903326148703740173e-01,-2.090050645881059987e-02,-1.359069333376270068e-02,-2.001209335251919796e+00,-4.155660210729780063e-02
4.460944169947129723e-01,-3.270515734068259878e-02,-2.113525854952470057e-02,-2.001325793072750159e+00,-5.216233865462650138e-02
5.018562191190519828e-01,-4.796885435230879846e-02,-3.079654783811080002e-02,-2.001264964526340062e+00,-6.305652476196180189e-02
5.576180212433909933e-01,-6.698525315967060467e-02,-4.271288296167830012e-02,-2.000986025831100079e+00,-7.418415375522680044e-02
6.133798233677300038e-01,-9.000247060684450628e-02,-5.698793792960819837e-02,-2.000468695632879879e+00,-8.551311701702940526e-02
6.691416254920690143e-01,-1.172246306843609948e-01,-7.369323515270219394e-02,-1.999714984482660052e+00,-9.702308336314749426e-02
7.249034276164080248e-01,-1.488155445981390046e-01,-9.287099947665120037e-02,-1.998755602623299987e+00,-1.087216841749770041e-01
7.806652297407480345e-01,-1.848960115914130009e-01,-1.145341148806729992e-01,-1.997647825048799897e+00,-1.205777599591359994e-01
8.364270318650870450e-01,-2.255440268492560074e-01,-1.386759236157749930e-01,-1.996462528674620041e+00,-1.324367715996639938e-01
8.921888339894259445e-01,-2.708028952114719945e-01,-1.652820185600319958e-01,-1.995294094867869905e+00,-1.441615976835579904e-01
9.479506361137649550e-01,-3.206776819960919789e-01,-1.943256281274559905e-01,-1.994266611521430033e+00,-1.557285330793339861e-01
1.003712438238099969e+00,-3.751349970284019730e-01,-2.257658818210599994e-01,-1.993525204978279897e+00,-1.671540441523599874e-01
1.059474240362439978e+00,-4.341051779519560228e-01,-2.595496095790300051e-01,-1.993232340424170079e+00,-1.784623436274669905e-01
1.115236042486779988e+00,-4.974835488213329993e-01,-2.956125615657860251e-01,-1.993565075344549964e+00,-1.896856755295870112e-01
1.170997844611119998e+00,-5.651319266869400115e-01,-3.338808380806850273e-01,-1.994711311054299996e+00,-2.008572023239159898e-01
