# time,x(N),y(E),z(D),psi
0.000000000000000000e+00,-8.472703458934730288e-17,-3.426554526035079786e-16,-2.000000000000000000e+00,7.730197621740570015e-16
3.514177607999170033e-02,-1.526888232576590032e-16,-6.894947453705100419e-16,-2.000000000000000000e+00,1.547654943099919953e-15
7.028355215998340066e-02,-1.904990648987210137e-05,-1.921753718106570128e-05,-2.000382399501530184e+00,7.777925305365560081e-04
1.054253282399749969e-01,-2.260897735120609995e-04,-2.269494838042230005e-04,-2.000854689900529948e+00,1.146701564999070069e-03
1.405671043199669956e-01,-9.529404495656800325e-04,-9.563260260669469593e-04,-2.001247067713650019e+00,-1.509762335046000001e-04
1.757088803999589943e-01,-2.622339348918620132e-03,-2.631913666668790099e-03,-2.002782075380099780e+00,-2.925600774130480194e-03
2.108506564799499938e-01,-5.727667203426140170e-03,-5.749152750459229910e-03,-2.006709958187689935e+00,-6.859154413606740122e-03
2.459924325599419925e-01,-1.079729887161150030e-02,-1.083808239426669977e-02,-2.013959425255869906e+00,-1.177792660340180007e-02
2.811342086399339912e-01,-1.837842127314150142e-02,-1.844674561664750093e-02,-2.025193871124220113e+00,-1.759170431459130060e-02
3.162759847199250185e-01,-2.902304266730980006e-02,-2.912693444732769935e-02,-2.040846078071560044e+00,-2.425954963815729962e-02
3.514177607999169894e-01,-4.327524461086239976e-02,-4.342129873176559657e-02,-2.061141751941959921e+00,-3.177005756318890262e-02
3.865595368799090159e-01,-6.165913521448929818e-02,-6.185125168213839730e-02,-2.086116605908120203e+00,-4.012986294834639672e-02
4.217013129599009869e-01,-8.466713261610220309e-02,-8.490528191281830617e-02,-2.115629389216690193e+00,-4.935696416944439918e-02
4.568430890398920141e-01,-1.127584269885199969e-01,-1.130330755850730007e-01,-2.149407878533919902e+00,-5.922197732178090257e-02
4.919848651198839851e-01,-1.463204148724190079e-01,-1.465665691791349923e-01,-2.187042704138329796e+00,-6.700894825851790026e-02
5.271266411998759560e-01,-1.854780817896390099e-01,-1.855295712632530070e-01,-2.227847256177359903e+00,-6.959134369529260122e-02
5.622684172798679825e-01,-2.299651486476889939e-01,-2.295665137189289995e-01,-2.270873111337010197e+00,-6.666103332892399369e-02
5.974101933598590097e-01,-2.792479136736910061e-01,-2.780981282699240276e-01,-2.315190694489940082e+00,-6.041752545876440117e-02
6.325519694398510362e-01,-3.326881557997989902e-01,-3.304910704745119832e-01,-2.359989647990190065e+00,-5.386502637001600036e-02
6.676937455198429516e-01,-3.896459387391290052e-01,-3.861360336851870079e-01,-2.404464340750319895e+00,-4.820895466273390079e-02
7.028355215998339789e-01,-4.495965860918770263e-01,-4.445346970623559879e-01,-2.448034034105469825e+00,-4.325933726439459837e-02
7.379772976798260053e-01,-5.121224985376050531e-01,-5.052897375665309498e-01,-2.490376106694410119e+00,-3.876491158950959998e-02
7.731190737598180318e-01,-5.768402933624370288e-01,-5.680369611689000120e-01,-2.531204506962959844e+00,-3.460299007540319771e-02
8.082608498398099472e-01,-6.433993677769469510e-01,-6.324433900826570421e-01,-2.570291125791530185e+00,-3.074310506462630058e-02
8.434026259198009745e-01,-7.114783368852419798e-01,-6.982033321064999853e-01,-2.607487413368990037e+00,-2.722402993397389850e-02
8.785444019997930010e-01,-7.807788949016519764e-01,-7.650320694643759634e-01,-2.642742308993109912e+00,-2.413714969818400030e-02
9.136861780797850274e-01,-8.510112026032370380e-01,-8.326538411763849679e-01,-2.676027508227130092e+00,-2.165029242736810078e-02
9.488279541597770539e-01,-9.218844447262980468e-01,-9.008034018912960406e-01,-2.707172301629829914e+00,-2.006709396634950154e-02
9.839697302397679701e-01,-9.931325247740739881e-01,-9.692536864758189985e-01,-2.735874575905650197e+00,-1.958236570699140033e-02
1.019111506319759997e+00,-1.064554834780770065e+00,-1.037836427889500035e+00,-2.762236065288119935e+00,-1.982766875427929842e-02
1.054253282399749914e+00,-1.136038471252440063e+00,-1.106451403583700088e+00,-2.786668411252729793e+00,-2.022501449869890111e-02
1.089395058479740053e+00,-1.207550494553780052e+00,-1.175070591586149904e+00,-2.809391239678530106e+00,-2.057536708238020054e-02
1.124536834559739962e+00,-1.279083071422630002e+00,-1.243698015252769906e+00,-2.830520420863409825e+00,-2.083168870196469916e-02
1.159678610639730101e+00,-1.350626689637969946e+00,-1.312341055489790076e+00,-2.850146632908100219e+00,-2.095952289176879896e-02
1.194820386719720018e+00,-1.422171005930080057e+00,-1.381008223893180009e+00,-2.868358661855769931e+00,-2.093839568997049941e-02
1.229962162799709935e+00,-1.493702909270230084e+00,-1.449709453119669922e+00,-2.885243984891959990e+00,-2.075074963384460069e-02
1.265103938879700074e+00,-1.565206124690889933e+00,-1.518456144191870028e+00,-2.900888809119570144e+00,-2.038117003360830071e-02
1.300245714959689991e+00,-1.636660907662240039e+00,-1.587262099890520028e+00,-2.915378232700939876e+00,-1.981211944502719868e-02
1.335387491039689900e+00,-1.708050329445560012e+00,-1.656145214444769920e+00,-2.928785930750890110e+00,-1.896853609115689912e-02
1.370529267119680039e+00,-1.779350905163969987e+00,-1.725128635365289931e+00,-2.941123298678089970e+00,-1.763491709296539922e-02
1.405671043199669956e+00,-1.850472807826250010e+00,-1.794241282902939938e+00,-2.952546228644629789e+00,-1.581030213360740122e-02
1.440812819279660095e+00,-1.921218745649180049e+00,-1.863504920145840016e+00,-2.963079402651429994e+00,-1.370725748151539920e-02
1.475954595359650012e+00,-1.991326248073610028e+00,-1.932924215634090004e+00,-2.972411308701190080e+00,-1.144574869414500054e-02
1.511096371439639929e+00,-2.060512624380329783e+00,-2.002497849037359945e+00,-2.980320425712950083e+00,-9.135804960324700810e-03
1.546238147519640060e+00,-2.128476485406119778e+00,-2.072225441226669851e+00,-2.986806640678770108e+00,-6.975236763617970182e-03
1.581379923599629977e+00,-2.194889774168970131e+00,-2.142102337415160207e+00,-2.992031988222970007e+00,-5.188431096637799618e-03
1.616521699679619894e+00,-2.259402005837650051e+00,-2.212093914079289902e+00,-2.996214383449499863e+00,-3.911221314202880175e-03
1.651663475759610034e+00,-2.321632066314919918e+00,-2.282101310874959932e+00,-2.999637989516770187e+00,-3.235438898285169975e-03
1.686805251839599951e+00,-2.381149783190480207e+00,-2.351942300667400065e+00,-3.002703542271070170e+00,-3.247759686101670071e-03
1.721947027919590090e+00,-2.437460807983450106e+00,-2.421352355705519876e+00,-3.005943411583699820e+00,-3.995484975236419933e-03
1.757088803999589999e+00,-2.489999976724039943e+00,-2.489999977500870099e+00,-3.009999943472859929e+00,-5.474004075111170084e-03
1.821173818492340057e+00,-2.574308815972349951e+00,-2.612092393360430087e+00,-3.020913317433009837e+00,-9.872498258595709467e-03
1.885258832985089894e+00,-2.641603761124780014e+00,-2.728726357944419867e+00,-3.036217024093700090e+00,-1.615859528436820042e-02
1.949343847477839953e+00,-2.689623009893639782e+00,-2.838554583077240068e+00,-3.054962954803030151e+00,-2.268183055119120037e-02
2.013428861970589789e+00,-2.716562795169589872e+00,-2.940559479417789834e+00,-3.076004228869940071e+00,-2.643461000189159874e-02
2.077513876463339848e+00,-2.721607791439850210e+00,-3.034010115547749908e+00,-3.098127350194419982e+00,-2.548451136072280021e-02
2.141598890956089907e+00,-2.705056872764230125e+00,-3.118415631095480034e+00,-3.120268600929899883e+00,-1.963070426187879872e-02
2.205683905448839965e+00,-2.668105354609029867e+00,-3.193493474379789809e+00,-3.141636487257430055e+00,-9.650634815698250213e-03
2.269768919941590024e+00,-2.612581636279569963e+00,-3.259159077594799836e+00,-3.161718702841589845e+00,3.054965431068120199e-03
2.333853934434340083e+00,-2.540663252327110211e+00,-3.315510690726439780e+00,-3.180278176328879880e+00,1.639164166539590003e-02
2.397938948927090141e+00,-2.454616326401569903e+00,-3.362837483992150212e+00,-3.197199863238830098e+00,2.915113122707490081e-02
2.462023963419840200e+00,-2.356638565037830091e+00,-3.401614110787650080e+00,-3.212367345653320161e+00,4.108121287854470116e-02
2.526108977912589815e+00,-2.248832336177890134e+00,-3.432465780451880111e+00,-3.225693829793740086e+00,5.207051436758369789e-02
2.590193992405339873e+00,-2.133215422272920048e+00,-3.456143301548700197e+00,-3.237143812973979795e+00,6.201883664078949865e-02
2.654279006898089932e+00,-2.011737300893590152e+00,-3.473506809979490129e+00,-3.246747143148509984e+00,7.083376064487779955e-02
2.718364021390839991e+00,-1.886277175391900096e+00,-3.485502282349119962e+00,-3.254677797876269985e+00,7.806230311288170354e-02
2.782449035883590049e+00,-1.758552747228790070e+00,-3.493139013338010024e+00,-3.261266308876490161e+00,8.322715298911340098e-02
2.846534050376340108e+00,-1.629903985277959988e+00,-3.497456032822920058e+00,-3.266844265567069971e+00,8.650995510127469645e-02
2.910619064869090167e+00,-1.501110543451440016e+00,-3.499451479799629894e+00,-3.271632086151110119e+00,8.864612529885169956e-02
2.974704079361839781e+00,-1.372410813382249906e+00,-3.499999994388060198e+00,-3.275752577595489878e+00,9.042006987918750627e-02
3.038789093854589840e+00,-1.243760818556920000e+00,-3.499796284548560177e+00,-3.279269488575990099e+00,9.215347614536879839e-02
3.102874108347339899e+00,-1.115100263278179904e+00,-3.499342800990420166e+00,-3.282207598605599852e+00,9.387427094875340494e-02
