# time,x(N),y(E),z(D),psi
0.000000000000000000e+00,8.815994628689739574e-26,-1.999888447961970076e-25,-2.000000000000000000e+00,5.428849102712559785e-25
6.877714107987049907e-02,5.414348157128180321e-25,-6.141194771061570081e-25,-2.000000000000000000e+00,1.087712026896940076e-24
1.375542821597409981e-01,-6.638874698229060147e-06,-1.040345093623670029e-05,-2.000020243713009904e+00,-4.669404095724740029e-03
2.063314232396120107e-01,-7.364629806708519353e-05,-1.138216381174729990e-04,-2.000100671445379952e+00,-1.457948984561329916e-02
2.751085643194819963e-01,-3.213291628162670056e-04,-4.897072649664120170e-04,-2.000278396858880203e+00,-2.658654363413909955e-02
3.438857053993529811e-01,-9.138475415056440026e-04,-1.371109056600349971e-03,-2.000584520579060221e+00,-3.938725988926049942e-02
4.126628464792230222e-01,-2.059950720636439907e-03,-3.040326816895220184e-03,-2.001040729677470154e+00,-5.248445768452870280e-02
4.814399875590940070e-01,-4.004561390956630149e-03,-5.812642821594879612e-03,-2.001656513303789797e+00,-6.569156608505369310e-02
5.502171286389639926e-01,-7.022964896838300268e-03,-1.002526492593970066e-02,-2.002427316774140209e+00,-7.895087186831969972e-02
6.189942697188349774e-01,-1.141415501880450011e-02,-1.602611937211749840e-02,-2.003333958944289783e+00,-9.225239754557529315e-02
6.877714107987049630e-01,-1.749452904735489950e-02,-2.416406220285479897e-02,-2.004343361309360194e+00,-1.056029955314130020e-01
7.565485518785759478e-01,-2.559169615365350023e-02,-3.478006549225080152e-02,-2.005410579382259861e+00,-1.190137961128970023e-01
8.253256929584460444e-01,-3.603856742369750121e-02,-4.819950487340009943e-02,-2.006482001117690039e+00,-1.324959368590920006e-01
8.941028340383170292e-01,-4.916776712125350141e-02,-6.472548982561690534e-02,-2.007499523598499813e+00,-1.460595062865739924e-01
9.628799751181870148e-01,-6.530642140652929972e-02,-8.463320153424519487e-02,-2.008405467682400136e+00,-1.597138071439589968e-01
1.031657116198060109e+00,-8.477135046070069513e-02,-1.081651697540360058e-01,-2.009147966464139845e+00,-1.734680626232469880e-01
1.100434257277929984e+00,-1.078646683451049970e-01,-1.355274074098979931e-01,-2.009686552725959974e+00,-1.873321994352120101e-01
1.169211398357800080e+00,-1.348697701495940038e-01,-1.668863111855309889e-01,-2.009997674515080046e+00,-2.013175169728829983e-01
1.237988539437669955e+00,-1.660476632435569921e-01,-2.023662351645139912e-01,-2.010079883681089807e+00,-2.154372537050799896e-01
1.306765680517540051e+00,-2.016335822366439878e-01,-2.420476500508149942e-01,-2.009958461536910157e+00,-2.297065302058549918e-01
1.375542821597409926e+00,-2.418338150083489957e-01,-2.859658112372009953e-01,-2.009689300059629868e+00,-2.441443961327970091e-01
1.444319962677280023e+00,-2.868225040160590211e-01,-3.341100434985330159e-01,-2.009361752008449908e+00,-2.587564521187589728e-01
1.513097103757149897e+00,-3.367344297514849871e-01,-3.864273647818730062e-01,-2.009100526255480190e+00,-2.734163740214319849e-01
1.581874244837019994e+00,-3.916562354382809863e-01,-4.428284333927329786e-01,-2.009066702414960215e+00,-2.880053626574469727e-01
1.650651385916890090e+00,-4.516244304884259875e-01,-5.031875077781019501e-01,-2.009457393399619818e+00,-3.024950082379360139e-01
1.719428526996759965e+00,-5.166250001888119670e-01,-5.673410677407390024e-01,-2.010504153294669916e+00,-3.168892361211150255e-01
1.788205668076630062e+00,-5.865912058659480399e-01,-6.350884744929190528e-01,-2.012470235382190165e+00,-3.312078810156620090e-01
1.856982809156499936e+00,-6.614012695778139772e-01,-7.061931608484199874e-01,-2.015646693227000075e+00,-3.454775517458740230e-01
1.925759950236370033e+00,-7.408759135232190207e-01,-7.803844973056419665e-01,-2.020347445009360143e+00,-3.597278395878150126e-01
1.994537091316249899e+00,-8.247759870145200400e-01,-8.573602340808670341e-01,-2.026903400974299885e+00,-3.739891495082189876e-01
2.063314232396120218e+00,-9.128002792069890292e-01,-9.367895528075570466e-01,-2.035655793376399902e+00,-3.882914237344429753e-01
2.132091373475990093e+00,-1.004583633985580038e+00,-1.018316741216509946e+00,-2.046948860097070000e+00,-4.026632646539010096e-01
2.200868514555859967e+00,-1.099695477365989937e+00,-1.101565496619250073e+00,-2.061122047950609826e+00,-4.171313097030069916e-01
