# time,x(N),y(E),z(D),psi
0.000000000000000000e+00,1.469466052412310027e-21,1.396477824343749960e-19,-2.000000000000000000e+00,1.338476966679410106e-19
3.268972163771319966e-02,3.711668868058949654e-21,2.870553266833259961e-19,-2.000000000000000000e+00,2.679446110169610066e-19
6.537944327542649647e-02,3.325995039614890002e-05,3.385640752688240032e-05,-2.009598383145669853e+00,-5.111651679946880092e-03
9.806916491313970308e-02,4.299272972137030088e-04,4.574594831677790191e-04,-2.036059388936919845e+00,-1.882850880062110141e-02
1.307588865508529929e-01,1.534618308361839932e-03,1.856643304682740027e-03,-2.076772099171610098e+00,-3.815920583085329748e-02
1.634486081885659914e-01,3.383027012362020084e-03,4.852632784070560167e-03,-2.131464226546039953e+00,-6.057236297513109852e-02
1.961383298262789898e-01,5.676562413332870115e-03,9.560898408580499261e-03,-2.194890830792569858e+00,-8.126582284059970240e-02
2.288280514639929875e-01,8.078090533472519208e-03,1.569692969926899870e-02,-2.260029656873910220e+00,-9.652850426098880110e-02
2.615177731017059859e-01,1.038350284240520047e-02,2.335049911842039874e-02,-2.325071597771179999e+00,-1.070098390685920026e-01
2.942074947394189843e-01,1.239863923843459968e-02,3.280332202277219666e-02,-2.389936077217599930e+00,-1.145582225193299969e-01
3.268972163771319828e-01,1.396263426554899927e-02,4.432104528083610079e-02,-2.454491077752980033e+00,-1.206621892634310023e-01
3.595869380148459804e-01,1.497682847900650045e-02,5.809825694051980183e-02,-2.518562511676690097e+00,-1.293785664908969901e-01
3.922766596525589788e-01,1.547279935273969918e-02,7.413629069459469478e-02,-2.582088572374459989e+00,-1.411581056893760067e-01
4.249663812902719773e-01,1.562407651868089921e-02,9.225166027994639861e-02,-2.645238992002580058e+00,-1.528440584559460080e-01
4.576561029279849757e-01,1.564627767571160136e-02,1.122013166568080061e-01,-2.708269942477830039e+00,-1.637872665596289967e-01
4.903458245656989734e-01,1.576315570910890099e-02,1.337170098077050118e-01,-2.771414543007010067e+00,-1.741359603667050060e-01
5.230355462034119718e-01,1.620318277649800132e-02,1.565099730362760067e-01,-2.834870151373420022e+00,-1.839751225818760105e-01
5.557252678411249702e-01,1.719757955996509963e-02,1.802743055894520108e-01,-2.898795318294280055e+00,-1.933438741154439866e-01
5.884149894788379687e-01,1.897795245134140107e-02,2.046906151320979916e-01,-2.963307833115090162e+00,-2.022566736926469932e-01
6.211047111165509671e-01,2.177409746368319868e-02,2.294294756864760088e-01,-3.028484649776619797e+00,-2.107108520297830134e-01
6.537944327542649647e-01,2.581219561561949941e-02,2.541542404553809864e-01,-3.094362178459200141e+00,-2.186885052992519896e-01
6.864841543919779632e-01,3.131298867643399902e-02,2.785238163763740227e-01,-3.160936269474340143e+00,-2.261613386791329894e-01
7.191738760296909616e-01,3.848997698955609892e-02,3.021954781615169838e-01,-3.228162417482070001e+00,-2.330936410754430033e-01
7.518635976674039600e-01,4.751571275251840337e-02,3.248408776287429744e-01,-3.295880732379230071e+00,-2.391214493661039941e-01
7.845533193051179577e-01,5.837347926280610222e-02,3.461872146956709861e-01,-3.363865699433310041e+00,-2.447773130600680025e-01
8.172430409428309561e-01,7.082082957189790584e-02,3.660130986323110180e-01,-3.432055100178330154e+00,-2.506885170377429750e-01
8.499327625805439546e-01,8.453508606107719425e-02,3.841042515445929895e-01,-3.500532344251070072e+00,-2.569798365413409891e-01
8.826224842182569530e-01,9.918257625684169521e-02,4.002457142233339926e-01,-3.569382028767150050e+00,-2.637797837831820091e-01
9.153122058559709506e-01,1.144206680201190068e-01,4.142278253415990208e-01,-3.638649047210570142e+00,-2.711560220170480262e-01
9.480019274936839491e-01,1.299006992180349873e-01,4.258479404666459800e-01,-3.708338360006850021e+00,-2.791375966660090135e-01
9.806916491313969475e-01,1.452709361048259984e-01,4.349121004633800247e-01,-3.778415069367830004e+00,-2.877293032143660167e-01
1.013381370769109946e+00,1.601795428853889924e-01,4.412366309106730000e-01,-3.848804771182619877e+00,-2.969209636050080259e-01
1.046071092406819947e+00,1.742775466306490106e-01,4.446496582394749986e-01,-3.919394164724769869e+00,-3.066934107155960265e-01
1.078760814044539940e+00,1.872217824990259905e-01,4.449925313145670080e-01,-3.990031905694010117e+00,-3.170223489593089750e-01
1.111450535682249940e+00,1.986778045530900039e-01,4.421211395152290224e-01,-4.060529690802139768e+00,-3.278808489114219960e-01
1.144140257319959941e+00,2.083227476095290132e-01,4.359071202737739847e-01,-4.130663563503880198e+00,-3.392409675786690060e-01
1.176829978957679934e+00,2.158481256692670047e-01,4.262389506606339973e-01,-4.200175431057320274e+00,-3.510748131002239814e-01
1.209519700595389935e+00,2.209625526270510010e-01,4.130229190781610216e-01,-4.268774783204830392e+00,-3.633552614389010116e-01
1.242209422233099936e+00,2.234193999473050030e-01,3.962223916070469754e-01,-4.336074870048189922e+00,-3.768115818797500016e-01
1.274899143870819929e+00,2.230338661071560036e-01,3.759212882080419926e-01,-4.401678980180140144e+00,-3.914680808413070201e-01
1.307588865508529929e+00,2.196338758724699913e-01,3.522875055807729860e-01,-4.465390178952399758e+00,-4.066313357230150194e-01
1.340278587146239930e+00,2.130227224615859893e-01,3.255091245477910178e-01,-4.527209423398700139e+00,-4.219698917505170233e-01
1.372968308783959923e+00,2.029900698687339966e-01,2.957978800956910237e-01,-4.587236507652409756e+00,-4.373288285872509729e-01
1.405658030421669924e+00,1.893205894796979871e-01,2.633917850793809912e-01,-4.645615420168489607e+00,-4.525691970452869750e-01
1.438347752059379925e+00,1.718016366305649967e-01,2.285597301381170066e-01,-4.702505712446489738e+00,-4.676631593763890260e-01
1.471037473697099918e+00,1.503361195711910014e-01,1.916507157324449928e-01,-4.757820335109429699e+00,-4.824981869895180187e-01
1.503727195334809918e+00,1.252073816274260065e-01,1.531616618352699966e-01,-4.810658801896019909e+00,-4.963988160598690191e-01
1.536416916972519919e+00,9.664485554282530033e-02,1.135127460781659992e-01,-4.860284457787289902e+00,-5.080054878651849570e-01
1.569106638610239912e+00,6.457147335081779571e-02,7.296488861569329354e-02,-4.906695358202539659e+00,-5.136829034804279992e-01
1.601796360247949913e+00,2.898969279645419866e-02,3.173808486874919732e-02,-4.949914652883210309e+00,-5.131347904255729730e-01
1.634486081885659914e+00,-9.999997126896189789e-03,-9.999987593370200309e-03,-4.989999956970979866e+00,-5.092939976607180341e-01
1.653743979588869983e+00,-3.450096862614100007e-02,-3.477207979269839738e-02,-5.012178340427530188e+00,-5.062245856565470437e-01
1.673001877292090045e+00,-6.016599494676030252e-02,-5.965585360939629905e-02,-5.033502039531420280e+00,-5.025052370925410239e-01
1.692259774995299892e+00,-8.694742566400670558e-02,-8.463004318940099691e-02,-5.053991009427219794e+00,-4.984629645196499981e-01
1.711517672698509962e+00,-1.147177944049490028e-01,-1.096711538495190041e-01,-5.073475405224139756e+00,-4.945655621926969836e-01
1.730775570401720032e+00,-1.434246065368869893e-01,-1.347608936812640101e-01,-5.091973733416690351e+00,-4.908374038933610017e-01
1.750033468104930101e+00,-1.730149222970940037e-01,-1.598808745214110039e-01,-5.109503300264740311e+00,-4.872966788006730110e-01
1.769291365808149941e+00,-2.034353820111380051e-01,-1.850126156538909883e-01,-5.126080199092529988e+00,-4.839568302875499883e-01
1.788549263511360010e+00,-2.346322325557129995e-01,-2.101375486670150061e-01,-5.141719302258800361e+00,-4.808276664120200161e-01
1.807807161214570080e+00,-2.665513536386209803e-01,-2.352370231413800084e-01,-5.156434253758989783e+00,-4.779162222464810039e-01
1.827065058917779927e+00,-2.991382839002449945e-01,-2.602923129865780116e-01,-5.170237462255079741e+00,-4.752274296857679770e-01
1.846322956620989997e+00,-3.323382468933960276e-01,-2.852846232882679800e-01,-5.183140094529259834e+00,-4.727646376200390077e-01
1.865580854324210058e+00,-3.660961769914949926e-01,-3.101950975575329950e-01,-5.195152069385300386e+00,-4.705300157710939901e-01
1.884838752027419906e+00,-4.003567452627179724e-01,-3.350048252975170171e-01,-5.206282052023169626e+00,-4.685248680876640259e-01
1.904096649730629975e+00,-4.350643853368549863e-01,-3.596948498202400257e-01,-5.216537448909580377e+00,-4.667498758464729836e-01
1.923354547433840045e+00,-4.701633192827949781e-01,-3.842461762603819886e-01,-5.225924403163119791e+00,-4.652052861341339773e-01
1.942612445137049892e+00,-5.055975835077129998e-01,-4.086397797436719936e-01,-5.234447790469279660e+00,-4.638910579042839766e-01
1.961870342840269954e+00,-5.413110546836920056e-01,-4.328566136759420258e-01,-5.242111215537920366e+00,-4.628069750946610106e-01
1.981128240543480024e+00,-5.772474757033949633e-01,-4.568776181255139734e-01,-5.248917009113090337e+00,-4.619527341794120168e-01
